èáìä,ñîì_àøõ,ùí_àøõ,àøõ_áàðâìéú
èáìú àøöåú     ,732,áøáãåñ                   ,BARBADOS
èáìú àøöåú     ,134,áøåðéé                   ,BRUNEI
èáìú àøöåú     ,810,áøæéì                    ,BRAZIL
èáìú àøöåú     ,300,áøéú äîåòöåú             ,USSR
èáìú àøöåú     ,731,áøîåãä                   ,BERMUDA
èáìú àøöåú     ,309,âàåøâéä                  ,GEORGIA
èáìú àøöåú     ,216,âàðä                     ,GHANA
èáìú àøöåú     ,287,âáåï                     ,GABON
èáìú àøöåú     ,757,âåàãàìåô                 ,GUADELOUPE
èáìú àøöåú     ,135,âåàí                     ,GUAM
èáìú àøöåú     ,726,âååèàîìä                 ,GUATEMALA
èáìú àøöåú     ,812,âåéàðä                   ,GUYANA
èáìú àøöåú     ,811,âåéàðä äöøôúéú           ,GUIANA FR
èáìú àøöåú     ,251,âéáåèé                   ,DJIBOUTI
èáìú àøöåú     ,661,âéáøìèø                  ,GIBRALTAR
èáìú àøöåú     ,207,âéðàä                    ,GUINEA
èáìú àøöåú     ,206,âéðàä áéñàå              ,GUINEA BISSAU
èáìú àøöåú     ,865,âéðàä äçãùä              ,NEW GUINEA
èáìú àøöåú     ,288,âéðàä äîùååðéú           ,GUINEA EQ
èáìú àøöåú     ,205,âîáéä                    ,GAMBIA
èáìú àøöåú     ,737,âîéé÷ä                   ,JAMAICA
èáìú àøöåú     ,308,âøåæéä                   ,GEORGIA
èáìú àøöåú     ,500,âøîðéä                   ,GERMANY
èáìú àøöåú     ,502,âøîðéä äîæøçéú           ,E GERMANY
èáìú àøöåú     ,501,âøîðéä äîòøáéú           ,W GERMANY
èáìú àøöåú     ,753,âøðãä                    ,GRENADA
èáìú àøöåú     ,751,ãåîéðé÷ä                 ,DOMINICA
èáìú àøöåú     ,580,ãðîø÷                    ,DENMARK
èáìú àøöåú     ,850,ãøåí àîøé÷ä              ,SOUTH AMERICA
èáìú àøöåú     ,270,ãøåí àôøé÷ä              ,S AFRICA
èáìú àøöåú     ,246,ãøåí ñåãàï               ,REPUBLIC OF SOUTH SUDAN
èáìú àøöåú     ,736,äàéèé                    ,HAITI
èáìú àøöåú     ,863,äàééí ääáøãééí           ,HEBRIDES
èáìú àøöåú     ,762,äàðèéìéí ääåìðãéí        ,ANTILLES
èáìú àøöåú     ,110,äåãå                     ,INDIA
èáìú àøöåú     ,610,äåìðã                    ,NETHERLANDS
èáìú àøöåú     ,141,äåðâ ÷åðâ                ,HONG KONG
èáìú àøöåú     ,540,äåðâøéä                  ,HUNGARY
èáìú àøöåú     ,725,äåðãåøñ                  ,HONDURAS
èáìú àøöåú     ,590,äîîìëä äîàåçãú           ,UNITED KINGDOM
èáìú àøöåú     ,734,äøô äãåîéðé÷ðéú          ,DOMINICAN R
èáìú àøöåú     ,125,åéèðàí                   ,VIETNAM
èáìú àøöåú     ,126,åéèðàí äãøåîéú           ,SOUTH VIETNAM
èáìú àøöåú     ,871,åðåàèå                   ,VANUATU
èáìú àøöåú     ,760,åðöåàìä                  ,VENEZUELA
èáìú àøöåú     ,672,åúé÷ï                    ,VATICAN
èáìú àøöåú     ,259,æéîáàáååä                ,ZIMBABWE
èáìú àøöåú     ,261,æîáéä                    ,ZAMBIA
èáìú àøöåú     ,218,çåó äùðäá                ,IVORY COAST
èáìú àøöåú     ,314,èâ'é÷éñèàï               ,TAJIKISTAN
èáìú àøöåú     ,872,èåáìå                    ,TUVALU
èáìú àøöåú     ,215,èåâå                     ,TOGO
èáìú àøöåú     ,881,èåðâä                    ,TONGA
èáìú àøöåú     ,133,èéååï                    ,TAIWAN
èáìú àøöåú     ,132,èéîåø äôåøèåâìéú         ,PORTUGUESE TIMOR
èáìú àøöåú     ,201,èðâø                     ,TANGIER
èáìú àøöåú     ,255,èðæðéä                   ,TANZANIA
èáìú àøöåú     ,761,èøéðéãã åèåáâå           ,TRINIDAD AND TOBAGO
èáìú àøöåú     ,410,éåâåñìáéä                ,YUGOSLAVIA
èáìú àøöåú     ,430,éååï                     ,GREECE
èáìú àøöåú     ,160,éôï                      ,JAPAN
èáìú àøöåú     ,40,éøãï                     ,JORDAN
èáìú àøöåú     ,900,éùøàì                    ,ISRAEL
èáìú àøöåú     ,51,ëååéú                    ,KUWAIT
èáìú àøöåú     ,0,ìà øùåí                  ,UNKNOWN
èáìú àøöåú     ,124,ìàåñ                     ,LAOS
èáìú àøöåú     ,30,ìáðåï                    ,LEBANON
èáìú àøöåú     ,230,ìåá                      ,LIBYA
èáìú àøöåú     ,630,ìåëñîáåøâ                ,LUXEMBOURG
èáìú àøöåú     ,302,ìèáéä                    ,LATVIA
èáìú àøöåú     ,209,ìéáøéä                   ,LIBERIA
èáìú àøöåú     ,301,ìéèà                     ,LITHUANIA
èáìú àøöåú     ,521,ìéëèðùèééï               ,LIECHTENSTEIN
èáìú àøöåú     ,272,ìñåèå                    ,LESOTHO
èáìú àøöåú     ,203,îàåøéèðéä                ,MAURITANIA
èáìú àøöåú     ,276,îàåøéöéåñ                ,MAURITIUS
èáìú àøöåú     ,212,îàìé                     ,MALI
èáìú àøöåú     ,275,îãâñ÷ø                   ,MADAGASCAR
èáìú àøöåú     ,262,îåæîáé÷                  ,MOZAMBIQUE
èáìú àøöåú     ,307,îåìãåáä                  ,MOLDOVA
èáìú àøöåú     ,150,îåðâåìéä                 ,MONGOLIA
èáìú àøöåú     ,416,îåðèðâøå                 ,MONTENEGRO
èáìú àøöåú     ,752,îåðñøú                   ,MONTSERRAT
èáìú àøöåú     ,641,îåð÷å                    ,MONACO
èáìú àøöåú     ,136,îæøç èéîåø               ,EAST TIMOR
èáìú àøöåú     ,120,îéàðîø )áåøîä(           ,MYANMAR (BURMA)
èáìú àøöåú     ,868,îé÷øåðæéä                ,MICRONESIA
èáìú àøöåú     ,263,îìàååé                   ,MALAWI
èáìú àøöåú     ,117,îìãéáéí                  ,MALADIVES
èáìú àøöåú     ,127,îìæéä                    ,MALAYSIA
èáìú àøöåú     ,673,îìèä                     ,MALTA
èáìú àøöåú     ,240,îöøéí                    ,EGYPT
èáìú àøöåú     ,142,î÷àå                     ,MACAO
èáìú àøöåú     ,414,î÷ãåðéä                  ,FYROM
èáìú àøöåú     ,720,î÷ñé÷å                   ,MEXICO
èáìú àøöåú     ,200,îøå÷å                    ,MOROCCO
èáìú àøöåú     ,202,îøå÷å äñôøãéú            ,SPANISH MOROCCO
èáìú àøöåú     ,756,îøèéðé÷                  ,MARTINIQUE
èáìú àøöåú     ,750,îøëæ àîøé÷ä              ,CENTRAL AMERICA
èáìú àøöåú     ,886,ðàåøå                    ,NAURU
èáìú àøöåú     ,570,ðåøáâéä                  ,NORWAY
èáìú àøöåú     ,211,ðéâø                     ,NIGER
èáìú àøöåú     ,213,ðéâøéä                   ,NIGERIA
èáìú àøöåú     ,870,ðéå æéìðã                ,NEW ZEALAND
èáìú àøöåú     ,721,ðé÷øâåàä                 ,NICARAGUA
èáìú àøöåú     ,274,ðîéáéä                   ,NAMIBIA
èáìú àøöåú     ,114,ðôàì                     ,NEPAL
èáìú àøöåú     ,245,ñàå èåîä åôøéðöéôä       ,SAO TOME AND PRINCIP
èáìú àøöåú     ,241,ñåãï                     ,SUDAN
èáìú àøöåú     ,273,ñååæéìðã                 ,SWAZILAND
èáìú àøöåú     ,252,ñåîìéä                   ,SOMALIA
èáìú àøöåú     ,20,ñåøéä                    ,SYRIA
èáìú àøöåú     ,813,ñåøéðí                   ,SURINAME
èáìú àøöåú     ,277,ñè äìðä                  ,ST HELENA
èáìú àøöåú     ,754,ñè åéðñðè                ,ST VINCENT
èáìú àøöåú     ,755,ñè. ìåöéä                ,ST LUCIA
èáìú àøöåú     ,742,ñè. ÷éèñ åðáéñ           ,ST  KITTS   NEVIS
èáìú àøöåú     ,208,ñééøä ìéàåðä             ,SIERRA LEONE
èáìú àøöåú     ,140,ñéï                      ,CHINA
èáìú àøöåú     ,122,ñéðâôåø                  ,SINGAPORE
èáìú àøöåú     ,113,ñé÷éí                    ,SIKKIM
èáìú àøöåú     ,411,ñìåáðéä                  ,SLOVENIA
èáìú àøöåú     ,532,ñìåá÷éä                  ,SLOVAKIA
èáìú àøöåú     ,882,ñîåàä                    ,SAMOA
èáìú àøöåú     ,883,ñîåàä äîòøáéú            ,WESTERN SAMOA
èáìú àøöåú     ,671,ñï îøéðå                 ,SAN MARINO
èáìú àøöåú     ,204,ñðâì                     ,SENEGAL
èáìú àøöåú     ,660,ñôøã                     ,SPAIN
èáìú àøöåú     ,415,ñøáéä                    ,SERBIA
èáìú àøöåú     ,112,ñøé ìð÷ä )öéìåï(         ,SRI-LANKA
èáìú àøöåú     ,80,òãï                      ,ADEN
èáìú àøöåú     ,62,òåîï                     ,OMAN
èáìú àøöåú     ,50,òéø÷                     ,IRAQ
èáìú àøöåú     ,60,òøá äñòåãéú              ,SAUDI ARABIA
èáìú àøöåú     ,866,ôàôåàä                   ,PAPUA
èáìú àøöåú     ,310,ôåìéï                    ,POLAND
èáìú àøöåú     ,889,ôåìéðæéä äöøôúéú         ,FRENCH POLYNESIA
èáìú àøöåú     ,711,ôåøèå øé÷å               ,PUERTO RICO
èáìú àøöåú     ,650,ôåøèåâì                  ,PORTUGAL
èáìú àøöåú     ,131,ôéìéôéðéí                ,PHILIPPINES
èáìú àøöåú     ,550,ôéðìðã                   ,FINLAND
èáìú àøöåú     ,869,ôìàå                     ,PALAU
èáìú àøöåú     ,740,ôðîä                     ,PANAMA
èáìú àøöåú     ,111,ô÷éñèï                   ,PAKISTAN
èáìú àøöåú     ,831,ôøâååàé                  ,PARAGUAY
èáìú àøöåú     ,790,ôøå                      ,PERU
èáìú àøöåú     ,840,ö'éìä                    ,CHILE
èáìú àøöåú     ,318,ö'ö'ðéä                  ,CHECHNYA
èáìú àøöåú     ,242,öàã                      ,CHAD
èáìú àøöåú     ,530,öëåñìåá÷éä               ,CZECHOSLOVAKIA
èáìú àøöåú     ,531,öëéä                     ,CZECH REPUBLIC
èáìú àøöåú     ,640,öøôú                     ,FRANCE
èáìú àøöåú     ,730,÷åáä                     ,CUBA
èáìú àøöåú     ,770,÷åìåîáéä                 ,COLOMBIA
èáìú àøöåú     ,286,÷åðâå                    ,CONGO
èáìú àøöåú     ,283,÷åðâå. øô. ãîå÷.         ,CONGO  DEMO  REP
èáìú àøöåú     ,417,÷åñåáå                   ,REPUBLIC OF KOSOVO
èáìú àøöåú     ,723,÷åñèä øé÷ä               ,COSTA RICA
èáìú àøöåú     ,151,÷åøéàä                   ,KOREA
èáìú àøöåú     ,153,÷åøéàä äãøåîéú           ,S KOREA
èáìú àøöåú     ,152,÷åøéàä äöôåðéú           ,N KOREA
èáìú àøöåú     ,312,÷æçñèàï                  ,KAZAKHSTAN
èáìú àøöåú     ,63,÷èø                      ,QATAR
èáìú àøöåú     ,316,÷éøâ'æñèàï               ,KIRGHIZSTAN
èáìú àøöåú     ,873,÷éøéáèé                  ,KIRIBATI
èáìú àøöåú     ,862,÷ìãåðéä äçãùä            ,NEW CALEDONIA
èáìú àøöåú     ,123,÷îáåãéä                  ,CAMBODIA
èáìú àøöåú     ,244,÷îøåï                    ,CAMEROON
èáìú àøöåú     ,700,÷ðãä                     ,CANADA
èáìú àøöåú     ,253,÷ðéä                     ,KENYA
èáìú àøöåú     ,10,÷ôøéñéï                  ,CYPRUS
èáìú àøöåú     ,412,÷øåàèéä                  ,CROATIA
èáìú àøöåú     ,279,øàåðéåï                  ,REUNION
èáìú àøöåú     ,284,øåàðãä                   ,RWANDA
èáìú àøöåú     ,260,øåãæéä                   ,RODESIA
èáìú àøöåú     ,400,øåîðéä                   ,ROMANIA
èáìú àøöåú     ,306,øåñéä                    ,RUSSIAN FEDERATION
èáìú àøöåú     ,243,øô îøëæ àôøé÷ðéú         ,CENTRAL AFRICA
èáìú àøöåú     ,880,ùàø àøöåú àå÷éàðéä       ,
èáìú àøöåú     ,690,ùàø àøöåú àéøåôä         ,OTHER EUROPE
èáìú àøöåú     ,180,ùàø àøöåú àñéä           ,OTHER ASIAN
èáìú àøöåú     ,280,ùàø àøöåú àôøé÷ä         ,OTHER AFRICA
èáìú àøöåú     ,560,ùååãéä                   ,SWEDEN
èáìú àøöåú     ,520,ùååéõ                    ,SWITZERLAND
èáìú àøöåú     ,121,úàéìðã                   ,THAILAND
èáìú àøöåú     ,220,úåðéñéä                  ,TUNISIA
èáìú àøöåú     ,15,úåøëéä                   ,TURKEY
èáìú àøöåú     ,313,úåøëîðéñèàï              ,TURKMENISTAN
èáìú àøöåú     ,70,úéîï                     ,YEMEN
èáìú àøöåú     ,71,úéîï äãîå÷øèéú           ,PEOPLE'S DEMO PEP YE
